job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary,salary_currency,salary_in_usd,company_location,company_size,salary_in_gbp
Data Scientist,Mid-level,Full-time,On-site,2022,United Kingdom,35000,GBP,43096,United Kingdom,Medium,35338.72
Data Engineer,Mid-level,Full-time,Remote,2022,United Kingdom,45000,GBP,55410,United Kingdom,Medium,45436.2
Data Scientist,Mid-level,Full-time,On-site,2022,United Kingdom,50000,GBP,61566,United Kingdom,Medium,50484.119999999995
Data Scientist,Mid-level,Full-time,On-site,2022,United Kingdom,30000,GBP,36940,United Kingdom,Medium,30290.8
Data Engineer,Mid-level,Full-time,On-site,2022,United Kingdom,40000,GBP,49253,United Kingdom,Medium,40387.46
Data Scientist,Senior-level,Full-time,On-site,2022,United Kingdom,90000,GBP,110820,United Kingdom,Medium,90872.4
Data Scientist,Senior-level,Full-time,On-site,2022,United Kingdom,80000,GBP,98506,United Kingdom,Medium,80774.92
Data Engineer,Entry-level,Full-time,Remote,2022,United Kingdom,35000,GBP,43096,United Kingdom,Medium,35338.72
Data Engineer,Senior-level,Full-time,On-site,2022,United Kingdom,60000,GBP,73880,United Kingdom,Medium,60581.6
Data Engineer,Senior-level,Full-time,On-site,2022,United Kingdom,50000,GBP,61566,United Kingdom,Medium,50484.119999999995
Data Analyst,Mid-level,Full-time,On-site,2022,United Kingdom,50000,GBP,61566,United Kingdom,Medium,50484.119999999995
Data Analyst,Mid-level,Full-time,On-site,2022,United Kingdom,35000,GBP,43096,United Kingdom,Medium,35338.72
Data Scientist,Mid-level,Full-time,On-site,2022,United Kingdom,140000,GBP,172386,United Kingdom,Medium,141356.52
Data Scientist,Mid-level,Full-time,On-site,2022,United Kingdom,70000,GBP,86193,United Kingdom,Medium,70678.26
Machine Learning Engineer,Senior-level,Full-time,Hybrid,2022,France,80000,EUR,84053,France,Large,68923.45999999999
Data Scientist,Mid-level,Full-time,Remote,2022,France,90000,EUR,94560,France,Medium,77539.2
Data Scientist,Mid-level,Full-time,Remote,2022,France,50000,EUR,52533,France,Medium,43077.06
Computer Vision Engineer,Mid-level,Full-time,Remote,2022,France,56000,EUR,58837,France,Small,48246.34
Data Scientist,Mid-level,Full-time,Remote,2022,France,60000,EUR,63040,France,Medium,51692.799999999996
Machine Learning Engineer,Senior-level,Full-time,Remote,2022,France,110000,EUR,115573,France,Medium,94769.86
Machine Learning Engineer,Senior-level,Full-time,Remote,2022,France,70000,EUR,73546,France,Medium,60307.719999999994
BI Data Analyst,Mid-level,Full-time,Hybrid,2022,France,100000,EUR,105066,France,Medium,86154.12
Data Scientist,Entry-level,Full-time,Hybrid,2022,France,38000,EUR,39925,France,Large,32738.499999999996
Director of Data Science,Senior-level,Full-time,Hybrid,2022,France,55000,EUR,57786,France,Large,47384.52
Data Scientist,Entry-level,Part-time,Remote,2022,Dominican Republic,110000,USD,110000,France,Medium,90200.0
Data Analyst,Entry-level,Full-time,Hybrid,2022,France,27000,EUR,28368,France,Medium,23261.76
Research Scientist,Senior-level,Full-time,Hybrid,2022,France,85000,EUR,89306,France,Large,73230.92
Data Engineer,Mid-level,Full-time,Remote,2022,France,62000,EUR,65141,France,Medium,53415.619999999995
Machine Learning Engineer,Senior-level,Full-time,Hybrid,2022,Finland,60000,EUR,63040,Finland,Small,51692.799999999996
Data Engineer,Senior-level,Full-time,On-site,2022,Spain,70000,EUR,73546,Spain,Medium,60307.719999999994
Data Engineer,Senior-level,Full-time,On-site,2022,Spain,35000,EUR,36773,Spain,Medium,30153.859999999997
Data Scientist,Senior-level,Full-time,On-site,2022,Spain,45000,EUR,47280,Spain,Medium,38769.6
Data Scientist,Senior-level,Full-time,On-site,2022,Spain,36000,EUR,37824,Spain,Medium,31015.679999999997
Data Analyst,Senior-level,Full-time,On-site,2022,Spain,48000,EUR,50432,Spain,Medium,41354.24
Data Analyst,Senior-level,Full-time,On-site,2022,Spain,38000,EUR,39925,Spain,Medium,32738.499999999996
Data Engineer,Senior-level,Full-time,On-site,2022,Spain,65000,EUR,68293,Spain,Medium,56000.259999999995
Data Engineer,Senior-level,Full-time,On-site,2022,Spain,40000,EUR,42026,Spain,Medium,34461.32
Data Science Consultant,Entry-level,Full-time,Hybrid,2022,Spain,26000,EUR,27317,Spain,Large,22399.94
Data Analyst,Senior-level,Full-time,On-site,2022,Spain,35000,EUR,36773,Spain,Medium,30153.859999999997
AI Scientist,Entry-level,Full-time,Remote,2022,Portugal,30000,EUR,31520,Spain,Medium,25846.399999999998
Data Engineer,Mid-level,Full-time,Remote,2022,Spain,80000,EUR,84053,Spain,Medium,68923.45999999999
Data Engineer,Mid-level,Full-time,Remote,2022,Spain,70000,EUR,73546,Spain,Medium,60307.719999999994
Data Scientist,Entry-level,Full-time,Hybrid,2022,Spain,30000,EUR,31520,Spain,Medium,25846.399999999998
Data Analyst,Mid-level,Full-time,Remote,2022,Spain,40000,EUR,42026,Spain,Medium,34461.32
Data Analyst,Mid-level,Full-time,Remote,2022,Spain,30000,EUR,31520,Spain,Medium,25846.399999999998
Data Engineer,Mid-level,Full-time,Remote,2022,Spain,60000,EUR,63040,Spain,Medium,51692.799999999996
Data Engineer,Mid-level,Full-time,Remote,2022,Spain,45000,EUR,47280,Spain,Medium,38769.6
Machine Learning Scientist,Mid-level,Full-time,Remote,2022,Egypt,22800,USD,22800,Egypt,Medium,18696.0
Head of Data,Mid-level,Full-time,Remote,2022,Estonia,30000,EUR,31520,Estonia,Small,25846.399999999998
Data Scientist,Entry-level,Part-time,Hybrid,2022,Algeria,100000,USD,100000,Algeria,Medium,82000.0
Data Scientist,Mid-level,Full-time,Remote,2022,Germany,70000,EUR,73546,Germany,Medium,60307.719999999994
BI Data Analyst,Entry-level,Full-time,On-site,2022,Germany,58000,EUR,60938,Germany,Large,49969.159999999996
Data Scientist,Mid-level,Full-time,On-site,2022,Germany,61000,EUR,64090,Germany,Medium,52553.799999999996
Data Scientist,Mid-level,Full-time,On-site,2022,Germany,58000,EUR,60938,Germany,Medium,49969.159999999996
Machine Learning Research Engineer,Entry-level,Full-time,Hybrid,2022,Germany,63000,EUR,66192,Germany,Large,54277.439999999995
Machine Learning Developer,Entry-level,Full-time,Remote,2022,Italy,33000,USD,33000,Germany,Small,27060.0
